Price,Close,High,Low,Open,Volume,SMA20,SMA50,SMA200
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
Date,,,,,,,,
2021-06-28,949.155029296875,967.5830068351754,946.8799733132387,965.5354805207484,20277042,998.3534362792968,933.8434240722656,931.0144064331055
2021-06-29,949.9740600585938,959.6203313338768,948.2905450727716,950.7475767024226,27144063,996.67978515625,935.3214147949219,930.9871517944335
2021-06-30,960.3711547851562,965.8312654969786,951.4529057551116,953.8189497184267,19762858,994.7925659179688,937.2830346679688,930.888889465332
2021-07-01,954.592529296875,966.0587979305755,953.2502184775107,963.715500911565,12534407,992.4259735107422,939.1340673828125,930.4156527709961
2021-07-02,968.7433471679688,970.4951632609226,952.317400936898,954.1602048328318,14086620,991.2010803222656,941.2205078125,930.0001342773437
2021-07-05,978.3668212890625,979.8911076185376,969.8580780772137,972.1103871470752,11702287,989.6207855224609,943.5180065917968,929.6717272949219
2021-07-06,966.8095703125,977.775345876362,964.7165499262375,975.9780960314433,10070124,987.7528228759766,945.2805627441406,929.2485797119141
2021-07-07,960.09814453125,968.1518891821571,954.6152867923088,968.1518891821571,10454892,986.4470794677734,946.448203125,928.7789526367187
2021-07-08,952.1581420898438,963.2377120648708,946.880007204719,963.2377120648708,11185460,984.5629638671875,947.3786010742188,928.3281173706055
2021-07-09,942.4208984375,951.7486525291566,940.1003484340649,950.0650773140198,9037675,981.3335144042969,947.8716674804688,927.8128396606445
2021-07-12,948.2905883789062,956.2077909534229,943.9224517127791,946.3112426024383,8585292,977.6752166748047,948.7501049804688,927.4399276733399
2021-07-13,955.3887939453125,956.9130803745411,950.0878516924769,955.5252756516485,6717133,974.255810546875,950.0919897460938,927.2038488769531
2021-07-14,949.155029296875,958.6420115450965,946.9937080592862,955.6844267309463,8532544,971.3983337402344,951.6941638183594,926.8920520019532
2021-07-15,947.4943237304688,953.2502049164673,945.7425076403309,953.2502049164673,9448356,968.3656799316407,953.2313818359376,926.6844021606445
2021-07-16,961.1674194335938,962.2367066615387,949.8831264283724,949.951367281346,8828185,965.7891784667969,954.9432153320313,926.4986413574219
2021-07-19,955.0474853515625,966.4455126172754,951.9989126340373,955.525231478772,8354449,962.6427703857422,956.525849609375,926.2492935180665
2021-07-20,952.7041015625,959.1653183707836,948.2450375383125,955.2976750301373,6741464,959.6408294677734,958.1119458007812,925.922935180664
2021-07-22,964.9439697265625,966.4000152300578,954.683470529445,964.1704530749702,7972397,957.7149871826172,959.8798107910156,925.682033996582
2021-07-23,958.118896484375,971.2005001848123,956.4580680899211,971.2005001848123,9937030,956.6275146484375,961.692548828125,925.4276388549805
2021-07-26,944.9917602539062,965.0805075916205,942.3754396207585,959.1653976108203,12389668,955.9996032714844,963.0237353515626,925.137194519043
2021-07-27,935.0496826171875,948.1085383406385,929.1345728588083,944.9689777697635,10824523,955.2943359375,963.9470495605469,924.8012344360352
2021-07-28,927.018798828125,936.41479430891,917.4180206049048,936.41479430891,12897848,954.1465728759765,964.4594519042969,924.31822265625
2021-07-29,934.2534790039062,943.8770042423774,929.7716073636433,934.5947434588048,13765738,952.840689086914,965.0340246582032,923.9127603149414
2021-07-30,926.0859985351562,940.9421040230186,924.1748936428288,936.4147387774315,11350608,951.4153625488282,965.5508972167969,923.4796099853515
2021-08-02,943.012451171875,946.1520117827725,928.7478263645152,934.7312372274596,10925104,950.1288177490235,966.250771484375,923.1229302978516
2021-08-03,949.9513549804688,951.430147484226,939.2358562430207,950.9751482931742,11817299,948.7080444335937,967.2426831054687,922.7019833374023
2021-08-04,957.2315673828125,961.8954143261994,949.6100753022611,952.9771655453944,13169800,948.2291442871094,968.5842431640625,922.3020211791992
2021-08-05,971.1094360351562,980.4598768953389,957.4590392491626,962.0318984025091,21252078,948.7797088623047,970.1407873535156,922.1550881958008
2021-08-06,950.5429077148438,976.8880893431025,945.8562535112904,969.1528622918455,16620987,948.6989471435547,971.2311352539062,921.9749243164063
2021-08-09,945.128173828125,950.8841149123823,940.2822912594686,946.8799898333923,7494143,948.8343109130859,971.1367419433594,921.7667800903321
2021-08-10,950.0877685546875,961.4403616289129,943.5811181110125,947.3349664779623,11919198,948.924169921875,970.5475476074218,921.6294564819336
2021-08-11,963.3969116210938,964.6254274166216,947.9720127090839,954.1373988131746,9184963,949.324575805664,970.1465441894532,921.6296405029296
2021-08-12,960.3028564453125,967.4465419866664,957.8002707488877,966.8550009426898,8137612,949.881967163086,969.3902905273437,921.6543704223633
2021-08-13,976.2965087890625,978.2303606065249,959.5975996548036,963.3969420853272,12780901,951.3220764160156,968.8777331542968,921.7452380371094
2021-08-16,988.9685668945312,1002.3914332731313,968.3337742680684,977.9800453155041,21935444,952.7121337890625,968.7922802734375,922.0897943115234
2021-08-17,984.7597045898438,994.2921805714811,977.2975018360073,986.8527849435737,12658169,954.1977447509765,968.2880200195312,922.4010632324218
2021-08-18,988.5819091796875,995.0203194571639,979.4589373887336,989.1961972236583,10075860,955.9916351318359,967.9762817382813,922.7837014770507
2021-08-20,977.4795532226562,988.2860390419917,972.3606471777291,975.090702319037,9426282,956.6184143066406,967.8016125488281,923.0757998657226
2021-08-23,983.895263671875,989.1961455676026,970.2221199980743,989.1961455676026,9854395,957.9072326660156,967.6827087402344,923.3374038696289
2021-08-24,993.6097412109375,997.3863365967811,980.823849400721,985.1237449789751,11864472,960.3381317138671,967.4147058105468,924.0489797973632
2021-08-25,1002.20947265625,1010.1267354530132,991.9717199859176,994.3833180171741,13380559,963.6961212158203,967.0297644042969,924.8648812866211
2021-08-26,1014.881591796875,1021.4565439234876,1003.3015280719944,1004.666585861122,18589616,968.0892608642578,966.8518579101562,925.6017657470703
2021-08-27,1013.4937744140625,1020.4782919319844,1008.3294342208058,1017.8619111430866,10480636,972.0512756347656,966.9956420898437,926.2369439697266
2021-08-30,1032.990966796875,1035.5391065503322,1017.7708505413503,1023.7770080256,14027062,977.3965240478516,967.4925134277344,926.8014987182618
2021-08-31,1027.4854736328125,1039.1337183154053,1020.2507393885751,1036.016904489164,26485463,981.6201751708984,967.7882739257813,927.2896688842774
2021-09-01,1031.5577392578125,1043.2970916409213,1029.6922485674477,1034.2423608926047,11145486,985.7004943847656,968.0599157714844,927.7214569091797
2021-09-02,1043.9796142578125,1050.0767599227504,1026.052128476792,1026.052128476792,9956770,990.0378967285156,968.6846496582032,928.4133908081054
2021-09-03,1086.796142578125,1089.753727352986,1047.6651320377116,1051.0776557907193,30664428,995.822232055664,970.3513562011718,929.3584024047851
2021-09-06,1103.67724609375,1128.4299004209945,1097.4889922462605,1097.944051619568,33641710,1003.4789489746094,972.8275341796875,930.3506378173828
2021-09-07,1110.638916015625,1118.4195769224002,1097.4890117544835,1105.6792381399396,17349882,1011.7544860839844,975.8893127441406,931.3643054199218
2021-09-08,1106.29345703125,1116.5995103115172,1095.054658449374,1115.6895119598441,14301651,1019.5647705078125,979.0320812988281,932.3767636108398
2021-09-09,1103.67724609375,1109.2510915570197,1099.35460328716,1104.7237261918483,8963249,1026.5787872314454,982.1061450195313,933.3898568725585
2021-09-13,1079.0838623046875,1107.0443192185294,1077.4913349676583,1107.0443192185294,16311160,1032.517837524414,984.4803991699218,934.3118365478516
2021-09-14,1077.6732177734375,1089.2987144742633,1076.5583765209813,1080.6535496243034,8908356,1037.5866729736329,986.9420129394531,935.3937393188477
2021-09-15,1082.1551513671875,1090.09504087413,1077.6960268089388,1077.6960268089388,9071075,1042.2460021972656,989.2102490234375,936.3819732666016
2021-09-16,1104.860107421875,1108.750437452325,1077.013388880378,1083.6338341939222,13448882,1048.2510223388672,991.7401147460937,937.453465270996
2021-09-17,1087.7288818359375,1117.441211114052,1080.9264609621353,1112.9593400786748,34882133,1053.2083709716796,994.1585009765626,938.4761428833008
2021-09-20,1089.4581298828125,1100.3783514488218,1078.3785593037167,1079.3340516110384,11779819,1058.8072998046875,996.7457006835938,939.4965844726562
2021-09-21,1094.1673583984375,1099.5819747220887,1084.7485569386888,1094.3038400919852,9915736,1064.3209045410156,999.5858850097657,940.5922631835938
2021-09-22,1105.90673828125,1111.1392587944545,1091.2325487612284,1095.6689260415033,10995912,1069.9357543945312,1002.8556018066406,941.6897329711915
2021-09-23,1132.9344482421875,1136.1649964932392,1112.731907489886,1113.596411926489,15748397,1076.4720031738282,1006.5484790039062,942.9149731445312
2021-09-24,1129.6583251953125,1140.009872555042,1124.7897556991463,1139.1453680882425,15192163,1082.21083984375,1010.0338696289062,944.110456237793
2021-09-27,1148.655029296875,1151.134928281977,1126.2912870102596,1131.6149158288965,15373834,1088.9689025878906,1014.0238696289063,945.4401446533203
2021-09-28,1159.3934326171875,1167.0603586138618,1143.354184437372,1153.0004562253168,18035258,1095.2890258789062,1018.2618518066406,946.7975665283203
2021-09-29,1150.2021484375,1169.38083570803,1146.653022546889,1169.38083570803,9719875,1101.4248596191405,1022.0425463867188,948.0284344482421
2021-09-30,1146.2889404296875,1153.273457399079,1137.6892697076169,1148.9053210131074,13590654,1107.1614196777343,1025.8673754882811,949.1644668579102
2021-10-01,1148.3138427734375,1155.6395643825463,1135.2550471541776,1138.4173546931033,8958928,1112.3781311035157,1029.7795703125,950.3558532714844
2021-10-04,1163.0789794921875,1171.587662580675,1154.38820045178,1161.645680951927,10918552,1116.1922729492187,1033.7422705078125,951.6237857055664
2021-10-05,1187.2174072265625,1188.4914771861918,1159.0748554855732,1162.6012346483487,13533634,1120.3692810058594,1038.3242407226562,953.0452847290039
2021-10-06,1164.7625732421875,1192.1087413964174,1160.78125500237,1192.1087413964174,10258881,1123.0754638671874,1042.7196569824218,954.3929373168945
2021-10-07,1170.472900390625,1182.4624681330135,1168.334326130549,1180.7560859021983,6336665,1126.2844360351562,1047.4281213378906,955.7641543579101
2021-10-08,1215.450927734375,1221.4343385648037,1174.613532001241,1176.3197940015023,15772493,1131.8731201171875,1053.1967639160157,957.339743347168
